Timestamp,Left_Knee_Angle,Right_Knee_Angle,Leg_Separation_Angle
2025-11-26 12:53:45,174.72,176.88,49.45
2025-11-26 12:53:45,174.65,176.97,49.33
2025-11-26 12:53:45,174.83,177.05,49.46
2025-11-26 12:53:45,177.43,177.63,50.91
2025-11-26 12:53:45,177.75,177.93,51.08
2025-11-26 12:53:45,177.92,178.17,51.06
2025-11-26 12:53:46,177.94,178.39,51.09
2025-11-26 12:53:46,178.17,178.32,51.22
2025-11-26 12:53:46,178.57,178.38,51.54
2025-11-26 12:53:46,178.3,178.34,51.48
2025-11-26 12:53:46,178.25,178.29,51.59
2025-11-26 12:53:46,178.36,178.37,51.72
2025-11-26 12:53:46,178.18,178.17,52.45
2025-11-26 12:53:46,178.39,178.36,52.69
2025-11-26 12:53:46,178.3,178.33,52.52
2025-11-26 12:53:46,177.86,178.36,52.3
2025-11-26 12:53:46,177.35,178.06,52.18
2025-11-26 12:53:46,177.37,177.87,51.75
2025-11-26 12:53:46,176.69,177.91,51.37
2025-11-26 12:53:46,176.8,178.34,51.2
2025-11-26 12:53:46,176.83,178.4,51.18
2025-11-26 12:53:47,176.92,178.48,51.89
2025-11-26 12:53:47,177.52,178.68,51.81
2025-11-26 12:53:47,178.16,178.81,52.2
2025-11-26 12:53:47,178.72,179.0,52.4
2025-11-26 12:53:47,178.81,178.92,52.39
2025-11-26 12:53:47,179.01,178.74,52.2
2025-11-26 12:53:47,179.17,178.45,51.86
2025-11-26 12:53:47,179.4,178.46,51.89
2025-11-26 12:53:47,179.38,178.51,51.86
2025-11-26 12:53:47,179.44,178.62,51.87
2025-11-26 12:53:47,179.34,178.54,51.8
2025-11-26 12:53:47,179.38,178.66,52.06
2025-11-26 12:53:47,179.4,178.94,51.93
2025-11-26 12:53:47,179.57,178.98,52.1
2025-11-26 12:53:47,179.54,179.03,52.39
2025-11-26 12:53:47,179.39,179.02,52.34
2025-11-26 12:53:48,179.45,179.07,52.2
2025-11-26 12:53:48,179.66,179.09,52.26
2025-11-26 12:53:48,179.7,179.23,52.23
2025-11-26 12:53:48,179.68,179.25,52.2
2025-11-26 12:53:48,179.51,179.18,51.95
2025-11-26 12:53:48,179.24,179.22,51.98
2025-11-26 12:53:48,179.42,179.37,52.05
2025-11-26 12:53:48,179.53,179.18,52.51
2025-11-26 12:53:48,179.64,179.17,52.58
2025-11-26 12:53:48,179.63,178.96,53.03
2025-11-26 12:53:48,179.58,178.97,53.1
2025-11-26 12:53:48,179.55,178.97,53.11
2025-11-26 12:53:48,179.57,178.97,52.94
2025-11-26 12:53:48,179.58,178.96,52.92
2025-11-26 12:53:48,179.5,179.0,52.86
2025-11-26 12:53:48,179.36,179.04,52.8
2025-11-26 12:53:49,179.48,179.05,52.8
2025-11-26 12:53:49,179.43,179.08,52.64
2025-11-26 12:53:49,179.17,179.14,52.57
2025-11-26 12:53:49,178.95,179.18,52.49
2025-11-26 12:53:49,178.7,179.14,52.4
2025-11-26 12:53:49,178.68,179.13,52.31
2025-11-26 12:53:49,178.56,179.14,52.28
2025-11-26 12:53:49,178.93,178.82,53.21
2025-11-26 12:53:49,178.65,179.13,52.53
2025-11-26 12:53:49,178.92,179.35,52.11
2025-11-26 12:53:49,178.86,179.33,52.14
2025-11-26 12:53:49,178.83,179.33,52.14
2025-11-26 12:53:49,178.7,179.46,52.16
2025-11-26 12:53:49,178.91,179.47,52.29
2025-11-26 12:53:49,178.99,179.47,52.28
2025-11-26 12:53:49,179.16,179.44,52.32
2025-11-26 12:53:49,179.23,179.45,52.37
2025-11-26 12:53:50,178.92,179.52,52.41
2025-11-26 12:53:50,178.91,179.52,52.43
2025-11-26 12:53:50,178.69,179.54,52.37
2025-11-26 12:53:50,178.77,179.54,52.39
2025-11-26 12:53:50,178.63,179.56,52.58
2025-11-26 12:53:50,178.85,179.57,52.5
2025-11-26 12:53:50,179.25,179.66,52.64
2025-11-26 12:53:50,179.22,179.45,52.92
2025-11-26 12:53:50,179.21,179.44,52.96
2025-11-26 12:53:50,179.18,179.38,52.96
2025-11-26 12:53:50,179.19,179.36,53.03
2025-11-26 12:53:50,179.54,179.5,53.02
2025-11-26 12:53:50,179.6,179.51,53.05
2025-11-26 12:53:50,179.66,179.35,53.04
2025-11-26 12:53:50,179.68,179.34,53.02
2025-11-26 12:53:51,179.61,179.35,53.05
2025-11-26 12:53:51,179.7,179.36,53.09
2025-11-26 12:53:51,178.93,179.31,52.68
2025-11-26 12:53:51,179.16,179.16,52.86
2025-11-26 12:53:51,178.61,179.45,52.31
2025-11-26 12:53:51,178.54,179.45,52.32
2025-11-26 12:53:51,178.66,179.36,52.25
2025-11-26 12:53:51,177.99,179.09,51.63
2025-11-26 12:53:51,178.01,179.06,51.58
2025-11-26 12:53:51,178.33,179.04,51.64
2025-11-26 12:53:51,178.27,179.07,51.45
2025-11-26 12:53:51,178.33,179.08,51.46
2025-11-26 12:53:51,178.32,178.99,51.77
2025-11-26 12:53:51,178.48,178.99,51.77
2025-11-26 12:53:52,178.69,178.94,52.29
2025-11-26 12:53:52,178.7,178.91,52.36
2025-11-26 12:53:52,178.62,178.83,52.37
2025-11-26 12:53:52,178.83,179.03,52.52
2025-11-26 12:53:52,178.68,179.0,52.43
2025-11-26 12:53:52,178.58,179.13,52.17
2025-11-26 12:53:52,178.42,179.13,52.14
2025-11-26 12:53:52,178.4,179.07,52.16
2025-11-26 12:53:52,178.42,179.11,52.19
2025-11-26 12:53:52,178.39,179.12,52.16
2025-11-26 12:53:52,178.41,179.14,52.14
2025-11-26 12:53:52,178.56,179.2,52.18
2025-11-26 12:53:52,178.89,179.24,52.08
2025-11-26 12:53:52,178.82,179.28,51.99
2025-11-26 12:53:52,178.71,179.18,51.79
2025-11-26 12:53:53,178.65,179.18,51.78
2025-11-26 12:53:53,178.68,179.2,51.76
